X,Y
32.5792243,-25.9303676
32.5832243,-25.9303676
32.5872243,-25.9303676
32.5912243,-25.9303676
32.6312243,-25.9303676
32.5792243,-25.9263676
32.5832243,-25.9263676
32.5872243,-25.9263676
32.5912243,-25.9263676
32.5952243,-25.9263676
32.5992243,-25.9263676
32.6032243,-25.9263676
32.6232243,-25.9263676
32.6272243,-25.9263676
32.6312243,-25.9263676
32.6352243,-25.9263676
32.6392243,-25.9263676
32.5832243,-25.9223676
32.5872243,-25.9223676
32.5912243,-25.9223676
32.5952243,-25.9223676
32.5992243,-25.9223676
32.6032243,-25.9223676
32.6072243,-25.9223676
32.6112243,-25.9223676
32.6152243,-25.9223676
32.6192243,-25.9223676
32.6232243,-25.9223676
32.6272243,-25.9223676
32.6312243,-25.9223676
32.6352243,-25.9223676
32.6392243,-25.9223676
32.6432243,-25.9223676
32.5872243,-25.9183676
32.5912243,-25.9183676
32.5952243,-25.9183676
32.5992243,-25.9183676
32.6032243,-25.9183676
32.6072243,-25.9183676
32.6112243,-25.9183676
32.6152243,-25.9183676
32.6192243,-25.9183676
32.6232243,-25.9183676
32.6272243,-25.9183676
32.6312243,-25.9183676
32.6352243,-25.9183676
32.6392243,-25.9183676
32.6432243,-25.9183676
32.6472243,-25.9183676
32.5872243,-25.9143676
32.5912243,-25.9143676
32.5952243,-25.9143676
32.5992243,-25.9143676
32.6032243,-25.9143676
32.6072243,-25.9143676
32.6112243,-25.9143676
32.6152243,-25.9143676
32.6192243,-25.9143676
32.6232243,-25.9143676
32.6272243,-25.9143676
32.6312243,-25.9143676
32.6352243,-25.9143676
32.6392243,-25.9143676
32.6432243,-25.9143676
32.6472243,-25.9143676
32.5912243,-25.9103676
32.5952243,-25.9103676
32.5992243,-25.9103676
32.6032243,-25.9103676
32.6072243,-25.9103676
32.6112243,-25.9103676
32.6152243,-25.9103676
32.6192243,-25.9103676
32.6232243,-25.9103676
32.6272243,-25.9103676
32.6312243,-25.9103676
32.6352243,-25.9103676
32.6392243,-25.9103676
32.6432243,-25.9103676
32.6472243,-25.9103676
32.6512243,-25.9103676
32.6552243,-25.9103676
32.5912243,-25.9063676
32.5952243,-25.9063676
32.5992243,-25.9063676
32.6032243,-25.9063676
32.6072243,-25.9063676
32.6112243,-25.9063676
32.6152243,-25.9063676
32.6192243,-25.9063676
32.6232243,-25.9063676
32.6272243,-25.9063676
32.6312243,-25.9063676
32.6352243,-25.9063676
32.6392243,-25.9063676
32.6432243,-25.9063676
32.6472243,-25.9063676
32.6512243,-25.9063676
32.6552243,-25.9063676
32.5912243,-25.9023676
32.5952243,-25.9023676
32.5992243,-25.9023676
32.6032243,-25.9023676
32.6072243,-25.9023676
32.6112243,-25.9023676
32.6152243,-25.9023676
32.6192243,-25.9023676
32.6232243,-25.9023676
32.6272243,-25.9023676
32.6312243,-25.9023676
32.6352243,-25.9023676
32.6392243,-25.9023676
32.6432243,-25.9023676
32.6472243,-25.9023676
32.6512243,-25.9023676
32.6552243,-25.9023676
32.6592243,-25.9023676
32.6632243,-25.9023676
32.5912243,-25.8983676
32.5952243,-25.8983676
32.5992243,-25.8983676
32.6032243,-25.8983676
32.6072243,-25.8983676
32.6112243,-25.8983676
32.6152243,-25.8983676
32.6192243,-25.8983676
32.6232243,-25.8983676
32.6272243,-25.8983676
32.6312243,-25.8983676
32.6352243,-25.8983676
32.6392243,-25.8983676
32.6432243,-25.8983676
32.6472243,-25.8983676
32.6512243,-25.8983676
32.6552243,-25.8983676
32.6592243,-25.8983676
32.6632243,-25.8983676
32.5952243,-25.8943676
32.5992243,-25.8943676
32.6032243,-25.8943676
32.6072243,-25.8943676
32.6112243,-25.8943676
32.6152243,-25.8943676
32.6192243,-25.8943676
32.6232243,-25.8943676
32.6272243,-25.8943676
32.6312243,-25.8943676
32.6352243,-25.8943676
32.6392243,-25.8943676
32.6432243,-25.8943676
32.6472243,-25.8943676
32.6512243,-25.8943676
32.6552243,-25.8943676
32.6592243,-25.8943676
32.6632243,-25.8943676
32.6672243,-25.8943676
32.5952243,-25.8903676
32.5992243,-25.8903676
32.6032243,-25.8903676
32.6072243,-25.8903676
32.6112243,-25.8903676
32.6152243,-25.8903676
32.6192243,-25.8903676
32.6232243,-25.8903676
32.6272243,-25.8903676
32.6312243,-25.8903676
32.6352243,-25.8903676
32.6392243,-25.8903676
32.6432243,-25.8903676
32.6472243,-25.8903676
32.6512243,-25.8903676
32.6552243,-25.8903676
32.6592243,-25.8903676
32.6632243,-25.8903676
32.6672243,-25.8903676
32.5992243,-25.8863676
32.6032243,-25.8863676
32.6072243,-25.8863676
32.6112243,-25.8863676
32.6152243,-25.8863676
32.6192243,-25.8863676
32.6232243,-25.8863676
