"night" "fr_night" "morning" "fr_morning" "midday" "fr_midday" "anoon" "fr_anoon" "evening" "fr_evening" "total"
"1" 27 0.063231850117096 103 0.241217798594848 123 0.288056206088993 106 0.24824355971897 68 0.159250585480094 427
"2" 36 0.1 79 0.219444444444444 107 0.297222222222222 65 0.180555555555556 73 0.202777777777778 360
"3" 31 0.108771929824561 53 0.185964912280702 88 0.308771929824561 64 0.224561403508772 49 0.171929824561404 285
"4" 28 0.100358422939068 55 0.197132616487455 79 0.283154121863799 69 0.247311827956989 48 0.172043010752688 279
"5" 31 0.0533562822719449 159 0.273666092943201 152 0.261617900172117 159 0.273666092943201 80 0.137693631669535 581
"6" 44 0.0729684908789386 166 0.275290215588723 158 0.262023217247098 164 0.271973466003317 71 0.117744610281924 603
"7" 36 0.0573248407643312 173 0.275477707006369 166 0.264331210191083 170 0.270700636942675 83 0.132165605095541 628
"8" 42 0.0667726550079491 172 0.273449920508744 162 0.257551669316375 157 0.249602543720191 96 0.152623211446741 629
"9" 46 0.110047846889952 88 0.210526315789474 122 0.291866028708134 90 0.215311004784689 72 0.172248803827751 418
"10" 42 0.114754098360656 61 0.166666666666667 108 0.295081967213115 83 0.226775956284153 72 0.19672131147541 366
"11" 44 0.0647058823529412 191 0.280882352941176 165 0.242647058823529 189 0.277941176470588 91 0.133823529411765 680
"12" 37 0.0827740492170022 161 0.360178970917226 126 0.281879194630872 82 0.1834451901566 41 0.0917225950782998 447
"13" 33 0.0530546623794212 135 0.217041800643087 180 0.289389067524116 183 0.294212218649518 91 0.146302250803859 622
"14" 50 0.0730994152046784 204 0.298245614035088 170 0.248538011695906 168 0.245614035087719 92 0.134502923976608 684
"15" 46 0.0628415300546448 199 0.271857923497268 192 0.262295081967213 187 0.255464480874317 108 0.147540983606557 732
"16" 47 0.094949494949495 99 0.2 153 0.309090909090909 109 0.22020202020202 87 0.175757575757576 495
"17" 45 0.112219451371571 65 0.162094763092269 122 0.304239401496259 96 0.239401496259352 73 0.182044887780549 401
"18" 46 0.0602883355176933 221 0.289646133682831 201 0.26343381389253 204 0.267365661861075 91 0.119266055045872 763
"19" 43 0.0547073791348601 230 0.292620865139949 219 0.278625954198473 202 0.256997455470738 92 0.11704834605598 786
"20" 41 0.0517676767676768 240 0.303030303030303 207 0.261363636363636 202 0.255050505050505 102 0.128787878787879 792
"21" 46 0.0592020592020592 223 0.287001287001287 197 0.253539253539254 204 0.262548262548263 107 0.137709137709138 777
"22" 60 0.0670391061452514 242 0.270391061452514 235 0.262569832402235 213 0.237988826815642 145 0.162011173184358 895
"23" 56 0.100719424460432 122 0.219424460431655 166 0.298561151079137 104 0.18705035971223 108 0.194244604316547 556
"24" 43 0.102625298329356 77 0.183770883054893 127 0.303102625298329 97 0.231503579952267 75 0.178997613365155 419
"25" 37 0.0488126649076517 219 0.288918205804749 216 0.284960422163588 209 0.275725593667546 77 0.101583113456464 758
"26" 58 0.0712530712530713 218 0.267813267813268 219 0.269041769041769 215 0.264127764127764 104 0.127764127764128 814
"27" 59 0.0668176670441676 239 0.270668176670442 254 0.287655719139298 225 0.254813137032843 106 0.12004530011325 883
"28" 58 0.0692124105011933 237 0.282816229116945 221 0.263723150357995 215 0.256563245823389 107 0.127684964200477 838
"29" 62 0.0720092915214866 231 0.268292682926829 217 0.252032520325203 233 0.27061556329849 118 0.137049941927991 861
"30" 71 0.119127516778523 131 0.219798657718121 178 0.298657718120805 121 0.203020134228188 95 0.159395973154362 596
"31" 41 0.0995145631067961 70 0.169902912621359 129 0.313106796116505 102 0.247572815533981 70 0.169902912621359 412
"32" 45 0.0522041763341067 260 0.301624129930394 231 0.267981438515081 228 0.264501160092807 98 0.11368909512761 862
"33" 47 0.0531073446327684 269 0.303954802259887 245 0.27683615819209 213 0.240677966101695 111 0.125423728813559 885
"34" 55 0.061867266591676 262 0.294713160854893 238 0.267716535433071 222 0.249718785151856 112 0.125984251968504 889
"35" 44 0.0517647058823529 252 0.296470588235294 232 0.272941176470588 213 0.250588235294118 109 0.128235294117647 850
"36" 58 0.0609243697478992 266 0.279411764705882 248 0.260504201680672 237 0.248949579831933 143 0.150210084033613 952
"37" 70 0.116472545757072 129 0.214642262895175 166 0.276206322795341 128 0.212978369384359 108 0.179700499168053 601
"38" 48 0.113207547169811 93 0.219339622641509 109 0.257075471698113 98 0.231132075471698 76 0.179245283018868 424
"39" 40 0.0466200466200466 267 0.311188811188811 219 0.255244755244755 238 0.277389277389277 94 0.10955710955711 858
"40" 67 0.065238558909445 301 0.293086660175268 254 0.247322297955209 268 0.26095423563778 137 0.133398247322298 1027
"41" 60 0.0638297872340425 265 0.281914893617021 248 0.263829787234043 246 0.261702127659574 121 0.128723404255319 940
"42" 63 0.0606936416184971 317 0.305394990366089 264 0.254335260115607 255 0.245664739884393 139 0.133911368015414 1038
"43" 73 0.072636815920398 280 0.278606965174129 261 0.259701492537313 268 0.266666666666667 123 0.122388059701493 1005
"44" 78 0.120743034055728 152 0.235294117647059 195 0.301857585139319 124 0.191950464396285 97 0.15015479876161 646
"45" 41 0.105398457583548 63 0.161953727506427 118 0.303341902313625 95 0.244215938303342 72 0.185089974293059 389
"46" 59 0.0639219934994583 280 0.303358613217768 232 0.251354279523294 247 0.267605633802817 105 0.113759479956663 923
"47" 62 0.0705346985210466 254 0.288964732650739 216 0.245733788395904 237 0.26962457337884 110 0.12514220705347 879
"48" 58 0.0645879732739421 279 0.310690423162583 217 0.241648106904232 224 0.249443207126949 120 0.133630289532294 898
